LargestSpotSize,SpotDistribution,Activity,Evolution,Prev24Hour,HistComplex,BecomeHist,Area,C-class,M-class,X-class,Class
A,X,B,D,B,B,B,B,A,A,A,H
R,O,B,D,B,B,C,B,A,A,A,D
S,O,B,D,B,B,C,B,A,A,A,C
R,X,B,C,B,B,B,B,A,A,A,H
S,X,B,B,B,B,C,B,A,A,A,H
A,O,B,C,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,A,A,A,B
A,O,B,D,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,A,A,A,B
A,O,B,C,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,A,A,A,B
S,O,C,C,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,A,A,A,B
X,O,B,C,B,B,C,B,A,A,A,B
R,I,B,D,B,B,C,B,B,A,A,D
X,O,B,C,B,B,C,B,A,A,A,B
X,O,B,C,B,C,C,B,A,A,A,B
S,X,B,C,B,B,C,B,A,A,A,H
X,O,C,C,B,C,C,B,A,A,A,B
R,O,B,D,B,B,C,B,F,A,A,C
X,O,B,C,B,C,C,B,A,A,A,B
X,O,B,D,B,B,C,B,A,A,A,B
X,O,B,D,B,B,C,B,A,A,A,B
R,O,B,D,B,B,C,B,A,A,A,D
X,O,B,B,B,C,C,B,A,A,A,B
X,O,B,B,B,B,C,B,A,A,A,B
R,I,C,B,B,C,C,B,A,A,A,C
X,O,B,D,B,B,C,B,A,A,A,B
R,I,B,D,B,C,C,B,A,A,A,D
X,O,B,C,B,B,C,B,A,A,A,B
R,O,B,D,B,B,C,B,A,A,A,C
A,C,B,D,B,B,C,B,D,B,A,E
A,X,B,C,B,B,B,B,B,A,A,H
X,O,B,C,B,C,C,B,B,A,A,B
X,O,B,D,B,B,C,B,A,A,A,B
X,O,B,C,B,B,C,B,A,A,A,B
K,I,C,D,B,C,C,B,C,A,A,D
A,I,B,D,B,C,C,B,A,A,A,D
X,O,B,D,B,B,C,B,A,A,A,B
A,O,C,D,D,C,C,B,C,A,A,D
S,O,C,D,B,C,C,B,F,A,A,E
S,I,C,D,B,C,C,B,A,A,A,E
R,O,B,D,B,B,C,B,A,A,A,C
A,I,C,D,B,C,C,B,A,A,A,D
A,I,C,D,B,C,C,B,E,E,A,E
S,X,B,D,B,B,B,B,A,A,A,H
R,O,B,D,B,B,C,B,B,B,A,D
S,O,B,D,B,C,C,B,A,A,A,D
X,O,B,C,B,B,C,B,A,A,A,B
A,I,C,C,B,C,C,B,A,A,A,D
A,I,C,D,D,C,C,B,G,A,A,E
S,X,B,B,B,B,B,B,A,A,A,H
S,I,C,D,B,B,C,B,A,A,A,D
S,O,C,D,C,B,C,B,B,A,A,D
R,O,B,D,B,B,C,B,A,A,A,D
S,O,B,D,B,C,C,B,A,A,A,D
S,O,B,D,B,B,C,B,A,A,A,D
S,O,B,C,B,C,C,B,A,A,A,D
K,C,C,D,D,C,C,C,G,A,A,E
R,X,B,D,B,B,B,B,A,A,A,H
A,O,B,C,B,C,C,B,C,A,A,D
S,I,B,D,B,B,C,B,B,A,A,C
S,O,B,C,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,B,A,A,B
S,O,B,C,B,C,C,B,B,A,A,D
A,I,B,D,B,B,C,B,A,A,A,D
S,O,B,C,B,C,C,B,A,A,A,D
K,C,C,D,B,C,C,C,A,A,A,F
R,O,B,C,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,B,A,A,B
S,O,B,C,B,C,C,B,A,A,A,D
A,X,B,C,B,C,C,B,A,A,A,H
A,O,B,D,B,C,C,B,A,A,A,D
K,C,C,C,B,C,C,B,E,A,A,F
S,I,C,C,B,C,C,B,A,A,A,D
X,O,B,C,B,B,C,B,A,A,A,B
R,O,B,D,B,B,C,B,A,A,A,C
X,O,B,D,B,B,C,B,B,A,A,B
X,O,B,D,B,B,C,B,A,A,A,B
R,X,B,C,B,C,C,B,A,A,A,H
A,X,B,C,B,C,C,B,A,A,A,H
S,O,B,C,B,C,C,B,B,A,A,D
R,O,B,C,B,B,C,B,A,A,A,C
A,C,C,D,B,B,C,B,C,A,A,D
X,O,B,B,B,B,C,B,A,A,A,B
A,I,C,D,B,B,C,B,C,A,A,E
S,O,B,D,B,C,C,B,B,A,A,C
A,C,C,D,B,C,C,C,C,A,A,F
S,O,B,C,B,C,C,B,A,A,A,D
A,I,C,D,B,C,C,B,D,A,A,D
X,O,B,D,B,B,C,B,A,A,A,B
A,I,C,D,B,C,C,B,A,A,A,E
A,I,C,C,B,C,C,B,C,A,A,F
S,X,B,B,B,C,C,B,B,A,A,H
A,I,C,C,B,C,C,B,A,A,A,D
X,O,B,C,B,B,C,B,A,A,A,B
S,I,C,C,B,C,C,B,A,A,A,E
A,C,C,C,B,C,C,B,B,A,A,F
S,X,B,C,B,C,C,B,A,A,A,H
A,O,B,C,B,C,C,B,B,A,A,E
X,O,B,D,B,B,C,B,A,A,A,B
S,O,B,D,B,B,C,B,B,A,A,C
S,X,B,C,B,C,C,B,A,A,A,H
A,I,C,C,B,C,C,B,A,A,A,F
A,O,B,C,B,C,C,B,A,A,A,E
S,I,B,C,B,C,C,B,A,A,A,E
A,O,B,D,B,B,C,B,C,A,A,E
S,X,B,C,B,B,B,B,A,A,A,H
S,O,B,B,B,C,C,B,A,A,A,E
S,I,C,D,B,C,C,B,A,A,A,E
S,O,B,C,B,B,C,B,A,A,A,E
A,I,B,C,B,C,C,B,A,A,A,E
S,X,B,C,B,B,C,B,C,A,A,H
A,O,B,D,B,B,C,B,A,A,A,E
H,X,B,C,B,B,B,B,A,A,A,H
X,O,B,D,B,B,C,B,A,A,A,B
S,O,B,D,B,B,C,B,A,A,A,E
H,X,B,D,B,B,B,B,A,A,A,H
S,X,B,C,B,B,B,B,B,A,A,H
X,O,B,D,B,B,C,B,A,A,A,B
R,O,B,C,B,B,C,B,D,A,A,C
R,O,B,C,B,B,C,B,A,A,A,D
S,O,C,C,B,B,C,B,A,A,A,C
S,X,B,C,B,B,B,B,A,A,A,H
X,O,B,D,B,B,C,B,A,A,A,B
R,C,C,D,B,B,C,B,A,A,A,E
R,I,B,D,B,B,C,B,A,A,A,D
S,X,B,B,B,C,C,B,A,A,A,H
S,O,B,C,B,B,C,B,A,A,A,C
K,O,B,C,B,B,C,B,C,A,A,C
X,O,B,C,B,B,C,B,A,A,A,B
A,I,B,D,B,C,C,B,A,A,A,E
R,O,B,D,B,B,C,B,A,A,A,C
S,X,B,C,B,B,C,B,A,A,A,H
S,O,B,C,B,B,C,B,A,A,A,E
S,O,B,D,B,B,C,B,A,A,A,C
K,C,B,D,B,C,C,C,C,B,A,E
R,O,B,D,B,C,C,C,A,A,A,E
S,X,B,B,B,B,C,B,A,A,A,H
S,O,C,B,B,B,C,B,A,A,A,C
S,X,B,B,B,B,B,B,A,A,A,H
X,O,B,D,B,B,C,B,A,A,A,B
A,C,C,B,D,C,C,B,F,A,A,E
A,O,B,B,B,C,C,B,D,A,A,E
R,X,B,D,B,B,C,B,A,A,A,H
S,X,B,C,B,B,B,B,A,A,A,H
S,X,B,C,B,B,B,B,A,A,A,H
S,X,B,D,B,B,C,B,A,A,A,H
H,X,B,D,B,B,C,B,A,A,A,H
S,X,B,D,B,B,B,B,A,A,A,H
K,C,C,D,D,C,C,C,B,A,A,F
A,O,C,C,B,C,C,B,B,A,A,E
S,O,B,D,B,B,C,B,B,A,A,D
S,X,B,D,B,B,B,B,A,A,A,H
S,O,B,D,B,B,C,B,A,A,A,C
S,X,B,C,B,B,C,B,A,A,A,H
H,O,B,D,B,B,C,B,B,A,A,C
X,O,B,B,B,B,C,B,A,A,A,B
A,O,C,C,B,C,C,B,A,A,A,E
S,I,B,D,B,B,C,B,A,A,A,D
S,X,B,D,B,B,B,B,A,A,A,H
A,O,B,D,B,B,C,B,B,A,A,D
S,X,B,C,B,B,C,B,A,A,A,H
S,O,C,D,B,B,C,B,B,A,A,C
S,O,B,C,B,B,C,B,A,A,A,C
K,I,C,C,B,C,C,C,B,A,A,F
R,O,C,C,B,C,C,B,A,A,A,E
S,O,B,D,B,B,C,B,A,A,A,C
S,X,B,B,B,B,C,B,A,A,A,H
A,I,B,C,B,C,C,B,C,A,A,F
S,O,B,D,B,B,C,B,A,A,A,D
A,O,C,D,B,B,C,B,A,A,A,D
S,O,B,C,B,B,C,B,D,A,A,C
S,X,B,C,B,B,C,B,A,A,A,H
S,X,B,D,B,B,C,B,A,A,A,H
R,I,C,C,B,B,C,B,A,A,A,D
A,I,B,D,B,B,C,B,A,A,A,D
A,O,C,C,D,C,C,B,A,A,A,D
A,O,B,C,B,B,C,B,A,A,A,D
R,O,B,D,B,B,C,B,B,A,A,D
S,X,B,C,B,B,C,B,A,A,A,H
S,X,B,C,B,B,C,B,A,A,A,H
K,I,C,D,B,C,C,C,D,A,A,F
A,I,B,C,B,C,C,B,A,A,A,D
A,I,B,D,B,C,C,B,A,A,A,D
X,I,B,C,B,C,C,B,A,B,A,B
A,O,B,D,B,B,C,B,A,A,A,D
A,O,C,D,B,B,C,B,A,A,A,D
X,O,B,D,B,B,C,B,B,A,A,B
X,O,B,C,B,B,C,B,A,A,A,B
S,X,B,D,B,B,C,B,A,A,A,H
S,X,B,C,B,B,C,B,A,A,A,H
K,I,C,C,D,C,C,B,A,A,A,F
A,I,B,C,B,C,C,B,A,A,A,D
A,O,B,C,B,B,C,B,A,A,A,D
A,O,C,D,B,B,C,B,A,A,A,D
X,O,B,C,B,B,C,B,A,A,A,B
R,O,B,C,B,B,C,B,A,A,A,C
R,X,B,C,B,B,B,B,A,A,A,H
S,X,B,C,B,B,B,B,A,A,A,H
S,O,B,B,B,C,C,B,A,A,A,F
R,I,C,C,B,C,C,B,A,A,A,D
R,O,B,C,B,C,C,B,B,A,A,C
A,X,C,D,C,C,C,B,A,A,A,H
A,X,B,C,B,B,C,B,A,A,A,H
A,I,B,C,B,B,C,B,A,A,A,D
R,O,B,D,B,B,C,B,A,A,A,D
R,O,B,D,B,B,C,B,A,A,A,D
S,X,B,C,B,C,B,B,A,A,A,H
R,O,B,D,B,B,C,B,A,A,A,C
R,O,B,D,B,B,C,B,A,A,A,D
R,O,B,B,B,C,C,B,A,A,A,C
S,X,B,C,B,C,C,B,A,A,A,H
A,X,B,D,B,B,C,B,A,A,A,H
S,I,B,C,B,C,C,B,A,D,A,D
X,O,B,D,B,B,C,B,A,A,A,B
X,I,B,D,B,B,C,B,A,A,A,B
S,I,B,D,B,B,C,B,A,A,A,D
R,X,B,D,B,B,C,B,A,A,A,H
A,X,B,C,B,C,B,B,A,A,A,H
R,X,B,C,B,B,C,B,A,A,A,H
X,O,B,D,B,B,C,B,A,A,A,B
X,O,B,D,B,B,C,B,A,A,A,B
X,O,B,D,B,B,C,B,A,A,A,B
R,X,B,C,B,C,C,B,A,A,A,H
R,O,B,B,B,B,C,B,A,A,A,D
S,O,B,C,B,C,C,B,A,A,A,D
R,O,B,C,B,C,C,B,A,A,A,C
R,O,B,D,B,B,C,B,A,A,A,C
A,O,B,D,B,C,C,B,A,A,A,C
