parents,has_nurs,form,children,housing,finance,social,health,Class
usual,proper,complete,A,convenient,convenient,nonprob,recommended,recommend
usual,proper,complete,A,convenient,convenient,nonprob,priority,priority
usual,proper,complete,A,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,A,convenient,convenient,slightly_prob,recommended,recommend
usual,proper,complete,A,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,A,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,A,convenient,convenient,problematic,recommended,priority
usual,proper,complete,A,convenient,convenient,problematic,priority,priority
usual,proper,complete,A,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,A,convenient,inconv,nonprob,recommended,very_recom
usual,proper,complete,A,convenient,inconv,nonprob,priority,priority
usual,proper,complete,A,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,A,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,A,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,A,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,A,convenient,inconv,problematic,recommended,priority
usual,proper,complete,A,convenient,inconv,problematic,priority,priority
usual,proper,complete,A,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,A,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,complete,A,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,A,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,A,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,A,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,A,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,A,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,A,less_conv,convenient,problematic,priority,priority
usual,proper,complete,A,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,A,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,complete,A,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,A,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,A,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,A,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,A,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,A,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,A,less_conv,inconv,problematic,priority,priority
usual,proper,complete,A,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,A,critical,convenient,nonprob,recommended,very_recom
usual,proper,complete,A,critical,convenient,nonprob,priority,priority
usual,proper,complete,A,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,A,critical,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,A,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,A,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,A,critical,convenient,problematic,recommended,priority
